u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Pagerank,district
25716952,25716955,0,590.431,0,6,19.1529368304396,0.05220167029914942,0.0006893780808525647,0.00021765168998938463,ITAIM BIBI
25716952,3216234214,0,23.491999999999997,0,6,18.934059844846693,0.052805119550478494,0.03441099235762069,0.00022171509681784876,ITAIM BIBI
25716952,7291546979,0,185.575,0,5,19.17214628740303,0.05214936703982736,0.006299449871710895,0.00019675965466811992,ITAIM BIBI
25716955,7302254192,0,18.449,0,5,19.758958256372367,0.05060060761860248,0.02458285591638207,0.00018546400831074398,ITAIM BIBI
25716955,301650850,0,10.419,0,6,19.752124122644993,0.050618115169537486,0.009008211680623273,0.0002140887865144691,ITAIM BIBI
25716955,302805868,0,17.362,0,6,19.438492796453637,0.05143481565944508,0.034039964951979106,0.00021666129293950422,ITAIM BIBI
25716958,25717002,0,25.345,0,6,21.01643886220909,0.047573011785591875,0.06993735722479354,0.0002173156832433923,ITAIM BIBI
25716958,307825542,0,48.034,0,6,20.5764684152198,0.048590228094900406,0.05337657842060112,0.00021963173668327544,ITAIM BIBI
25716958,1373371464,0,94.32099999999998,0,5,21.32693018101219,0.046880412942562184,0.005129110339100727,0.000192702644083336,ITAIM BIBI
25716958,7302254190,0,177.336,0,5,21.327299593646103,0.04687960092148338,0.020985460568031834,0.00019446681311202952,ITAIM BIBI
25716969,40278556,0,43.068,0,4,20.919652752124122,0.047793111364218294,0.005542017381357935,0.00016813238325815786,ITAIM BIBI
25716969,302805971,0,69.67,0,4,20.927964536387144,0.04777412977476524,0.004661563458446567,0.00017178361746370433,ITAIM BIBI
25716969,8944018396,0,148.963,0,4,20.362209087550795,0.049101513955787775,0.0011206074641291097,0.0001728558178458376,ITAIM BIBI
25717002,300063850,0,30.164,0,6,20.89268562984854,0.047854800067189444,0.02011907558554603,0.00021540830585998848,ITAIM BIBI
25717002,2447177827,0,57.369,0,5,21.3852973771703,0.04675246156503714,0.033830075991909375,0.00018387248363242595,ITAIM BIBI
25717002,301650848,0,64.207,0,5,21.480790543036573,0.04654462281916129,0.05728250890433055,0.00018561357672863756,ITAIM BIBI
25717032,300063850,0,19.887,0,5,20.79017362393794,0.04809076209598607,0.030721167342521116,0.00018549259245693924,ITAIM BIBI
25717032,25720779,0,506.803,0,6,21.21038049501293,0.04713801781717799,0.0,0.00020946237014251142,ITAIM BIBI
25717032,7299438595,0,34.271,1,4,21.12319911340968,0.04733256966973007,0.030359301107389203,0.00016411015409718822,ITAIM BIBI
25717980,307825505,0,948.7050000000003,0,4,18.333394902105653,0.05453519651006982,0.0003325832079670774,0.00017432079506783646,ITAIM BIBI
25717980,8061934107,0,340.335,0,4,18.276320650166237,0.054705501879775235,0.0008490441954496467,0.00018054748088020721,ITAIM BIBI
25718023,25718063,0,101.221,0,4,21.29423716291097,0.04695238838724227,0.002215203747703982,0.00017661862087733066,ITAIM BIBI
25718023,1373371433,0,166.84300000000002,0,4,21.670483930550425,0.046137192731239986,0.0002916851253346281,0.00017522613124552932,ITAIM BIBI
25718023,3186451580,0,68.775,0,4,21.1100849649058,0.047361973925977775,0.0021047789245963685,0.00017108024404967987,ITAIM BIBI
25718048,302805856,0,93.76299999999999,0,5,20.323974879940895,0.04919388552629187,0.0003255487377542961,0.00018385228015341043,ITAIM BIBI
