u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,from,to,grade,grade_abs,flood_count,flood_any,flood_duration_h,Mean Shortest Path Length,Closeness,Eigenvector,bet,Degree,Subgraph Centrality,Pagerank,junction,ref,bridge,tunnel,access,width,elevation,highway_code
20944548,453215766,0,421540365,False,1.0,Rua Doutor Cândido Espinheira,residential,,False,114.787,"LINESTRING (-46.6611098 -23.5343813, -46.661008 -23.5344279, -46.6601839 -23.5348047, -46.6601022 -23.534842)",453215766,20944548,-0.131,0.131,0,False,0.0,25.851847601560706,0.038677515725364334,7.838808005508465e-10,0.006008599523602861,6,17.467032297680777,0.00012665665047425912,,,,,,,750.5,6
20944548,457051432,0,426403442,False,2.0,Alameda Barros,residential,,True,97.421,"LINESTRING (-46.6592466 -23.5352322, -46.6593393 -23.5351885, -46.6600105 -23.534884, -46.6601022 -23.534842)",457051432,20944548,-0.092,0.092,0,False,0.0,25.199793435850356,0.03967831104189152,1.9637540156468922e-09,0.008159298803039281,6,16.192256626310275,0.0001271607114103345,,,,,,,753.5,6
20944548,396152231,0,426403447,True,2.0,Rua Conselheiro Brotero,residential,,False,164.21599999999998,"LINESTRING (-46.6601022 -23.534842, -46.6601167 -23.5348703, -46.6601414 -23.5349187, -46.6601529 -23.5349412, -46.6607481 -23.5361067, -46.6607852 -23.5361795)",20944548,396152231,0.061,0.061,0,False,0.0,26.054739499655728,0.038376328504543235,6.439346517898656e-10,0.0055377169978393535,5,11.743988744267439,0.00011211299831098047,,,,,,,763.0,6
20944548,457051355,0,426403447,True,2.0,Rua Conselheiro Brotero,residential,,False,170.11399999999998,"LINESTRING (-46.6594021 -23.5334533, -46.6595742 -23.533795, -46.6600511 -23.534742, -46.6601022 -23.534842)",457051355,20944548,-0.047,0.047,0,False,0.0,25.9335551985311,0.038555656348872716,7.4748051573221e-10,0.004053052093079122,5,12.142405470823748,0.00010862851429599342,,,,,,,754.0,6
20944550,457551668,0,230629156,True,2.0,Alameda Barros,tertiary,,False,242.181,"LINESTRING (-46.6535506 -23.5372021, -46.6534786 -23.5372477, -46.6534645 -23.5372587, -46.6525525 -23.5379688, -46.6518463 -23.538521, -46.651736 -23.5386072)",20944550,457551668,-0.021,0.021,0,False,0.0,25.102708285517558,0.03983176758325905,4.169831713262548e-08,0.0038458763721850443,6,15.935580221137535,0.00013008734451657036,,,,,,,756.5,9
20944550,1997444090,0,1231375061,True,1.0,Rua Barão de Tatuí,residential,,False,120.212,"LINESTRING (-46.6535506 -23.5372021, -46.6535655 -23.5372427, -46.6535859 -23.5372981, -46.6536037 -23.5373522, -46.6538773 -23.5381846, -46.6538943 -23.5382362)",20944550,1997444090,-0.008,0.008,0,False,0.0,25.62749598347487,0.039016111553927584,1.951095939642783e-08,0.012368157614201916,5,11.605830371805444,0.00011153210927547867,,,,,,,758.5,6
20944550,457560092,0,1231375056,True,1.0,Rua Barão de Tatuí,residential,,False,139.94099999999997,"LINESTRING (-46.652728 -23.5361977, -46.6527829 -23.5362617, -46.6528024 -23.5362845, -46.6528834 -23.536379, -46.6534692 -23.5370626, -46.6534846 -23.5370851, -46.6535155 -23.5371302, -46.6535506 -23.5372021)",457560092,20944550,-0.029,0.029,0,False,0.0,25.486917603855865,0.03923131300851445,2.17744112686433e-08,0.015814098600534614,5,10.883516827562623,0.00011512748902405003,,,,,,,757.0,6
20944550,1964889341,0,"[426255020, 230629156]",True,2.0,Alameda Barros,tertiary,,False,85.051,"LINESTRING (-46.654346 -23.5369731, -46.654177 -23.5370194, -46.653662 -23.5371601, -46.653643 -23.5371663, -46.6536208 -23.5371736, -46.6535506 -23.5372021)",1964889341,20944550,0.024,0.024,0,False,0.0,25.06610052788616,0.039889939842326465,2.09494501624659e-08,0.010235588571051576,6,16.591525159291365,0.00012603541752395325,,,,,,,760.0,9
20944551,20944552,0,8307075,False,1.0,Rua Fortunato,residential,,True,164.143,"LINESTRING (-46.6517752 -23.5403107, -46.6517558 -23.5402497, -46.6517478 -23.5402246, -46.6513532 -23.5389913, -46.6513311 -23.5389209, -46.6513228 -23.538894)",20944552,20944551,-0.012,0.012,0,False,0.0,25.876864815239845,0.038640123109126304,6.154945126311273e-08,0.00012678574958391737,5,11.12178385438769,0.00011413152949648925,,,,,,,755.0,6
20944551,158844513,0,914039011,True,2.0,Rua Frederico Abranches,tertiary,,False,135.69099999999997,"LINESTRING (-46.6513228 -23.538894, -46.6511879 -23.5389857, -46.6503858 -23.5395314, -46.6502894 -23.539597, -46.6502532 -23.5396203)",20944551,158844513,0.007,0.007,0,False,0.0,25.493229286206105,0.03922160001440481,7.642965962171092e-08,0.0042658935128126,5,10.905438876324025,0.00011770690252129927,,,,,,,756.5,9
20944551,457551668,0,914039011,True,2.0,Rua Frederico Abranches,tertiary,,False,52.833,"LINESTRING (-46.651736 -23.5386072, -46.6516863 -23.5386417, -46.6516273 -23.5386825, -46.6513857 -23.5388503, -46.6513228 -23.538894)",457551668,20944551,-0.038,0.038,0,False,0.0,25.26635299518017,0.039573785830104784,5.2000470296379005e-08,0.004290444874450002,5,11.299194587185744,0.00011231935859906255,,,,,,,755.0,9
20944552,20944553,0,27238807,True,1.0,Rua Canuto do Val,residential,,False,93.569,"LINESTRING (-46.6517752 -23.5403107, -46.6518333 -23.5402937, -46.6518602 -23.5402862, -46.6525596 -23.5400916, -46.6526531 -23.5400651)",20944552,20944553,-0.011,0.011,0,False,0.0,26.663070920358045,0.0375007532000241,6.841460835692781e-08,0.0007072680717851597,5,11.268988118482723,0.00011259149405171754,,,,,,,753.5,6
