Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
547,4.8,13.582422786400002,0.0019890966661371065,397.90000000000003,5,4,1,0.008676135470689924,0.0027421215456135332
548,5.578947368421052,14.76230241366109,0.0017849946139371655,179.31666666666666,4,3,1,0.0069454266855256954,0.002881718761644366
549,3.909090909090909,31.480716790080486,0.0032651811411557458,733.8000000000001,4,2,2,0.010747681911048246,0.007041868574503265
550,4.0,14.594525828691626,0.0022046126714733764,700.0,4,2,2,0.0062588401697312585,0.010852262544421058
551,3.5,14.555407569257639,0.0011684793458368373,381.0,3,1,2,0.006600660066006601,0.0057842064674451694
552,4.72972972972973,29.4373558488417,0.002990364331088057,214.4,5,2,3,0.008675480643302426,0.003583456630299175
553,4.833333333333333,19.01582369547965,0.0032459984590031857,469.24999999999994,6,4,2,0.007850398135051602,0.0038489566856506536
554,3.372093023255814,48.16794790526069,0.003156248325124532,453.8,4,1,3,0.012458745874587462,0.005108215609470949
555,4.257142857142857,19.318761349491798,0.002583524661686942,575.9666666666667,5,2,3,0.00863881030960239,0.007948044048571384
556,2.6363636363636362,11.552777820499614,0.0022145903726652483,105.68333333333335,5,3,2,0.0038091309130913096,0.0015408169987294646
557,3.8214285714285716,17.526769080200545,0.0012541862938488509,530.3,3,1,2,0.007103567499607103,0.007343612092290248
558,2.888888888888889,22.143242910553987,0.0020814861172331633,299.5,4,2,2,0.005761826182618262,0.0028826636823538797
559,2.9642857142857144,45.178877814144336,0.0025502885541042286,71.03333333333333,4,1,3,0.009185918591859186,0.0016537018990439637
560,2.764705882352941,18.838232309914936,0.001358667010055075,43.5,4,1,3,0.005968096809680969,0.0009860997268859777
561,5.934782608695652,9.538981600685672,0.0012613120657047224,29.666666666666664,5,3,2,0.007989548954895492,0.001248522688043534
562,4.914893617021277,28.975548309405024,0.0014174261329589725,32.13333333333333,5,1,4,0.010662881764366902,0.001346473656989441
563,3.272727272727273,51.2505421390656,0.0017579635546566142,0.0,5,0,5,0.010918591859185917,0.0012790530413145742
564,5.181818181818182,15.936566906403481,0.0017129820081344925,448.5833333333333,4,3,1,0.008187634239614437,0.006028985525978943
565,4.3023255813953485,40.374186328441695,0.003223161587474215,538.2166666666667,4,2,2,0.010103331761747594,0.007792685261323877
566,4.103448275862069,23.63131335533558,0.002980599994169862,400.01190476190476,5,3,2,0.007132052490963381,0.0026217483170954173
567,3.642857142857143,63.29885583821433,0.0036697382715633804,441.35714285714295,4,1,3,0.011731887474461725,0.005349064516668245
568,3.586206896551724,36.65910529394291,0.0030869967819343743,88.8595238095238,5,2,3,0.008286185761433282,0.0016014244222743136
569,3.642857142857143,30.967584726122688,0.0032072337404194283,352.4166666666667,5,2,3,0.007873644507307868,0.002462619163527945
570,3.3947368421052633,72.00296589645502,0.0038283498088987475,377.1285714285714,5,1,4,0.011627769919849124,0.004724077919850426
571,3.2222222222222223,45.372008535960674,0.00328478304587588,46.47857142857143,5,2,3,0.008264576457645762,0.0011945959585218085
572,3.090909090909091,29.315005902387725,0.0033680365573461974,816.8912698412694,5,2,3,0.007329482948294827,0.002396446605251599
573,3.0526315789473686,23.693572613135373,0.0008127218834190917,0.0,4,0,4,0.0068481848184818485,0.0008022272223863725
574,2.6666666666666665,22.069659724549346,0.0011395450508881206,13.0,5,1,4,0.005830583058305831,0.0010503055200721326
575,2.65,35.573141844386186,0.001220207324195334,0.0,4,0,4,0.007549504950495048,0.0008843830222693662
576,2.2941176470588234,44.42671126111205,0.002135723958633845,7.0,5,1,4,0.006944444444444442,0.0009584843319676029
577,2.8666666666666667,14.671565638281214,0.0009056254638818677,356.0,3,1,2,0.004867986798679868,0.005210803475731708
578,2.3333333333333335,23.018819246987707,0.0028279248351065775,519.0,6,4,2,0.0044004400440044,0.00780637862828532
579,0.5,2.0,0.00028280579039836776,26.0,4,3,1,0.0008250825082508251,0.0005097760060473264
580,2.4545454545454546,15.157492862120574,0.002338809689663819,16.833333333333332,6,5,1,0.003575357535753576,0.0009182118810443106
581,2.3846153846153846,19.324159533754294,0.001321701973032442,11.5,4,2,2,0.004675467546754675,0.0007732310577217647
582,1.7,30.49843747007435,0.004666212468807369,465.3333333333333,6,3,3,0.004675467546754675,0.007099340835353004
583,4.142857142857143,18.789382626993127,0.0029252918277646606,147.94126984126984,5,3,2,0.005724501021530726,0.0017778488702331185
584,3.5,24.423444469576626,0.002262987247194986,86.2246031746032,5,1,4,0.006822646550369324,0.0011718132577140166
585,1.5,4.16666667163372,0.0008673597014505228,12.333333333333332,4,3,1,0.0015126512651265126,0.000394670019045208
586,3.25,17.145128176593413,0.001980492763321452,94.7246031746032,5,2,3,0.005335533553355336,0.0010799920696097337
587,2.923076923076923,12.09119824590861,0.0017030858099556102,676.6666666666667,5,3,2,0.004180418041804181,0.006783984242738766
588,0.75,7.5,0.0011080681524307415,43.333333333333336,5,2,3,0.0024752475247524753,0.00036728475241762566
589,1.0,3.5,0.0008859976410893177,65.15793650793651,4,3,1,0.0012376237623762376,0.0006205542132828351
590,0.5,2.0,0.0005827608193180001,35.884126984126965,4,3,1,0.0008250825082508251,0.0006252502519575798
591,0.0,0.0,0.0,0.0,5,5,0,0.0,0.0
592,2.3333333333333335,14.23296135124292,0.0018324613735434684,573.0,5,3,2,0.0044004400440044,0.0066686165964309615
593,0.5,2.0,0.0006342816847027713,26.166666666666668,5,4,1,0.0008250825082508251,0.0003543975681222855
594,1.7777777777777777,19.765476189219044,0.0029796683814192725,524.0,5,3,2,0.0038503850385038507,0.006092719893472184
595,1.5,17.826388943125494,0.0027861987089265673,316.50000000000006,5,2,3,0.003987898789878989,0.0010673297522771055
596,1.5714285714285714,13.341666703112423,0.0031442723978625416,396.33333333333286,6,4,2,0.0031628162816281628,0.0048372730151391066
597,1.5,8.541666682809591,0.00219861141660588,135.33333333333331,6,4,2,0.0027502750275027505,0.0021224925404990107
598,1.0,7.66666667163372,0.0020611432525338216,67.50000000000011,5,3,2,0.0020627062706270625,0.0008731067360106817
599,0.6666666666666666,5.5,0.0011924966134985414,49.00000000000007,4,2,2,0.0016501650165016502,0.0003817828347498679
600,0.0,0.0,0.0,0.0,5,5,0,0.0,0.0
601,0.5,2.0,0.0005335769887238138,39.833333333333336,4,3,1,0.0008250825082508251,9.6653882215236e-05
602,0.0,0.0,0.0,0.0,4,4,0,0.0,0.0
603,0.0,0.0,0.0,0.0,5,5,0,0.0,0.0
