osmid,y,x,highway,street_count,elevation,ref,geometry
60641488,-23.5459268,-46.6387625,traffic_signals,4,747.0,,POINT (-46.6387625 -23.5459268)
60641571,-23.5446995,-46.6386448,traffic_signals,3,757.0,,POINT (-46.6386448 -23.5446995)
60641664,-23.547423,-46.6397608,traffic_signals,3,741.0,,POINT (-46.6397608 -23.547423)
60642059,-23.5157907,-46.6268255,traffic_signals,3,727.0,,POINT (-46.6268255 -23.5157907)
60685349,-23.5505721,-46.6343559,,3,785.0,,POINT (-46.6343559 -23.5505721)
60685350,-23.5511695,-46.6340198,,3,776.0,,POINT (-46.6340198 -23.5511695)
60685352,-23.5525158,-46.630443,traffic_signals,3,754.0,,POINT (-46.630443 -23.5525158)
60685357,-23.5537481,-46.6319924,,3,750.0,,POINT (-46.6319924 -23.5537481)
60685358,-23.5539581,-46.6311399,,3,750.0,,POINT (-46.6311399 -23.5539581)
60685360,-23.5534267,-46.6309942,,3,744.0,,POINT (-46.6309942 -23.5534267)
60685363,-23.5533244,-46.6313901,,1,754.0,,POINT (-46.6313901 -23.5533244)
60685365,-23.5553904,-46.6319876,,4,732.0,,POINT (-46.6319876 -23.5553904)
60685366,-23.5553236,-46.6310913,,4,726.0,,POINT (-46.6310913 -23.5553236)
60685367,-23.5560866,-46.6319979,,3,737.0,,POINT (-46.6319979 -23.5560866)
60685368,-23.5559736,-46.6330693,traffic_signals,3,753.0,,POINT (-46.6330693 -23.5559736)
60685370,-23.5569787,-46.6319891,,4,739.0,,POINT (-46.6319891 -23.5569787)
60685374,-23.5553045,-46.6308289,,3,725.0,,POINT (-46.6308289 -23.5553045)
60685376,-23.5541514,-46.6303592,,3,732.0,,POINT (-46.6303592 -23.5541514)
60685377,-23.5536287,-46.6302011,,3,734.0,,POINT (-46.6302011 -23.5536287)
60685384,-23.5492637,-46.6310381,,3,758.0,,POINT (-46.6310381 -23.5492637)
60685391,-23.5497736,-46.6307917,traffic_signals,3,754.0,,POINT (-46.6307917 -23.5497736)
60685397,-23.5482349,-46.638363,,3,757.0,,POINT (-46.638363 -23.5482349)
60685402,-23.54701,-46.6379608,,3,743.0,,POINT (-46.6379608 -23.54701)
60685404,-23.5470445,-46.6381737,,3,739.0,,POINT (-46.6381737 -23.5470445)
60685409,-23.549039,-46.640862,,3,751.0,,POINT (-46.640862 -23.549039)
60685428,-23.5474587,-46.6380116,,3,754.0,,POINT (-46.6380116 -23.5474587)
60685429,-23.5488779,-46.6377087,,3,773.0,,POINT (-46.6377087 -23.5488779)
60685431,-23.5477248,-46.6369703,,3,758.0,,POINT (-46.6369703 -23.5477248)
60685446,-23.5491038,-46.6379772,,3,775.0,,POINT (-46.6379772 -23.5491038)
60685465,-23.5485877,-46.6386352,,3,749.0,,POINT (-46.6386352 -23.5485877)
60685472,-23.548471,-46.6390938,,3,733.0,,POINT (-46.6390938 -23.548471)
